Name	Price	Volume
BTC/USDT	12,080 USDT	6,452.37 BTC	79,963,653 USDT	6,452 BTC
XRP/BTC	0.11996 mBTC	36,375,358.03 XRP	4,397 BTC	4,397 BTC
ETH/BTC	0.09097 BTC	28,413.79 ETH	2,557 BTC	2,557 BTC
XRP/USDT	1.44500 USDT	15,046,863.79 XRP	22,337,414 USDT	2,300 BTC
BCH/USDT	1,838.0 USDT	10,370.70 BCH	20,757,912 USDT	2,137 BTC
ETH/USDT	1,097.1 USDT	13,850.35 ETH	15,430,025 USDT	1,589 BTC
BCH/BTC	0.15285 BTC	9,778.50 BCH	1,520 BTC	1,520 BTC
XMR/BTC	0.03028 BTC	41,681.54 XMR	1,279 BTC	1,279 BTC
XLM/BTC	0.04071 mBTC	17,121,017.38 XLM	700 BTC	700 BTC
XEM/BTC	0.09000 mBTC	7,321,287.24 XEM	664 BTC	664 BTC
ETC/USDT	32.1610 USDT	170,030.78 ETC	5,691,723 USDT	586 BTC
LTC/BTC	0.01630 BTC	35,587.72 LTC	581 BTC	581 BTC
ETC/BTC	0.00268 BTC	212,771.55 ETC	576 BTC	576 BTC
SC/BTC	0.00375 mBTC	146,133,357.75 SC	558 BTC	558 BTC
BTS/BTC	0.03258 mBTC	16,353,328.66 BTS	535 BTC	535 BTC
REP/BTC	0.00809 BTC	63,618.48 REP	488 BTC	488 BTC
LTC/USDT	196.750 USDT	19,673.70 LTC	4,009,784 USDT	413 BTC
XMR/USDT	366.986 USDT	9,951.41 XMR	3,810,827 USDT	392 BTC
REP/USDT	98.0000 USDT	39,499.45 REP	3,727,642 USDT	384 BTC
STEEM/BTC	0.43848 mBTC	844,927.00 STEEM	363 BTC	363 BTC
LSK/BTC	0.00193 BTC	181,141.31 LSK	356 BTC	356 BTC
DASH/BTC	0.07066 BTC	4,521.21 DASH	327 BTC	327 BTC
DASH/USDT	857.144 USDT	2,884.25 DASH	2,615,542 USDT	269 BTC
ZEC/USDT	510.000 USDT	4,697.43 ZEC	2,516,216 USDT	259 BTC
DOGE/BTC	0.00065 mBTC	370,380,191.75 DOGE	242 BTC	242 BTC
DGB/BTC	0.00509 mBTC	43,738,837.13 DGB	228 BTC	228 BTC
NXT/USDT	0.31608 USDT	6,100,377.01 NXT	2,054,668 USDT	212 BTC
ZEC/BTC	0.04231 BTC	4,773.70 ZEC	205 BTC	205 BTC
FCT/BTC	0.00424 BTC	43,951.43 FCT	195 BTC	195 BTC
ZRX/BTC	0.15080 mBTC	1,219,230.77 ZRX	189 BTC	189 BTC
STRAT/BTC	0.00118 BTC	155,414.80 STRAT	189 BTC	189 BTC
BCH/ETH	1.68074 ETH	919.52 BCH	1,586 ETH	144 BTC
NXT/BTC	0.02619 mBTC	5,162,514.49 NXT	140 BTC	140 BTC
SBD/BTC	0.66910 mBTC	226,350.01 SBD	135 BTC	135 BTC
SYS/BTC	0.05717 mBTC	2,119,866.12 SYS	126 BTC	126 BTC
VTC/BTC	0.42917 mBTC	255,483.06 VTC	112 BTC	112 BTC
OMG/BTC	0.00151 BTC	70,162.48 OMG	107 BTC	107 BTC
MAID/BTC	0.05969 mBTC	1,429,038.29 MAID	88 BTC	88 BTC
GAME/BTC	0.35730 mBTC	228,008.79 GAME	83 BTC	83 BTC
GNT/BTC	0.05623 mBTC	1,391,061.42 GNT	80 BTC	80 BTC
EMC2/BTC	0.05487 mBTC	1,273,272.45 EMC2	73 BTC	73 BTC
BURST/BTC	0.00453 mBTC	15,122,381.33 BURST	69 BTC	69 BTC
BCN/BTC	0.00062 mBTC	111,258,690.50 BCN	69 BTC	69 BTC
ARDR/BTC	0.09459 mBTC	586,321.00 ARDR	58 BTC	58 BTC
GAS/BTC	0.00457 BTC	10,702.70 GAS	50 BTC	50 BTC
ZRX/ETH	0.00166 ETH	294,445.88 ZRX	505 ETH	46 BTC
STORJ/BTC	0.13398 mBTC	316,258.21 STORJ	44 BTC	44 BTC
REP/ETH	0.08818 ETH	5,143.33 REP	439 ETH	40 BTC
XCP/BTC	0.00442 BTC	8,863.92 XCP	40 BTC	40 BTC
XPM/BTC	0.09133 mBTC	421,751.66 XPM	38 BTC	38 BTC
LBC/BTC	0.06172 mBTC	587,159.09 LBC	38 BTC	38 BTC
DCR/BTC	0.00900 BTC	3,897.01 DCR	36 BTC	36 BTC
GNO/BTC	0.02020 BTC	1,598.12 GNO	33 BTC	33 BTC
